ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.412.210,CM4ZOm30dP1Te6l2h3,192.168.0.66,35073,192.168.0.4,6156,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.210,CZFdkxZ392qD4nxJd,192.168.0.66,35073,192.168.0.4,1145,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.210,CBpM8u1xZjmwELZQ8k,192.168.0.66,35073,192.168.0.4,1104,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.500,Cz6m3c2sotqFi0X92,192.168.0.66,35073,192.168.0.4,6667,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,Cer51Y3B6SoKNptMsh,192.168.0.66,35073,192.168.0.4,5120,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,CiLDOm4gz6hcVB1QNf,192.168.0.66,35073,192.168.0.4,8701,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,CrzCPh1reCM4Wk6iub,192.168.0.66,35073,192.168.0.4,5226,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,CjmfGR2SHwaoMLS422,192.168.0.66,35073,192.168.0.4,50002,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,CTm0iz4XZbKjbkiLG2,192.168.0.66,35073,192.168.0.4,4001,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.510,Cs5FoG30bDVuD1Bx5f,192.168.0.66,35073,192.168.0.4,1081,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.414.660,CeU4bRDzbpGz2R5Gb,192.168.0.66,35075,192.168.0.4,3986,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.510.200,CnsWIpXWxPVnzJNN5,192.168.0.66,35075,192.168.0.4,648,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.510.210,CGVKBu38sMdpTJfZJ2,192.168.0.66,35075,192.168.0.4,65389,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.510.210,CuLeECzAdKVlVksAl,192.168.0.66,35075,192.168.0.4,55055,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.510.210,Cc4wOz1HEw6pqdzXWb,192.168.0.66,35075,192.168.0.4,19283,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.512.390,CZG5kN3c95Op81yPG,192.168.0.66,35075,192.168.0.4,1104,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.512.390,C0BGMxCt3L2dFzk68,192.168.0.66,35075,192.168.0.4,1145,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.512.390,CvydXE3mw3RPZokNqk,192.168.0.66,35075,192.168.0.4,6156,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.512.400,Cubk6o4TSrptlJzbm9,192.168.0.66,35075,192.168.0.4,9594,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.512.400,CeXQQ52UqNzXVSWyuk,192.168.0.66,35075,192.168.0.4,2107,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.520,C7Yqzf3XzyFeu5KHL1,192.168.0.66,35075,192.168.0.4,1081,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.530,CdfLtg3j6Q7w4rPkV5,192.168.0.66,35075,192.168.0.4,4001,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.530,CoWB963Fan0Ea22NK8,192.168.0.66,35075,192.168.0.4,50002,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.530,CP9WWT2zW708AxPaCa,192.168.0.66,35075,192.168.0.4,5226,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.530,CfwDx64C0CpliUlhY7,192.168.0.66,35075,192.168.0.4,8701,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.530,CMs4fJ3e26e3turNBl,192.168.0.66,35075,192.168.0.4,5120,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.514.790,CyttGuquyDa9bFxX1,192.168.0.66,35075,192.168.0.4,6667,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.516.600,CSp1Hs1p68r3kg8b01,192.168.0.66,35073,192.168.0.4,259,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.610.300,CHO2U8470N9enn078k,192.168.0.66,35073,192.168.0.4,5298,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.610.300,C1jveb2REBRHkSVRca,192.168.0.66,35073,192.168.0.4,5678,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.610.300,CupvxO2otmII2jCc55,192.168.0.66,35073,192.168.0.4,544,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.610.300,Cb39zf2DzW68k0fZFj,192.168.0.66,35073,192.168.0.4,5859,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
